College_ID,IQ,Previous_Sem_Percentage,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Project_Count,Placement,Average_Score
CLG0097,81,8.61,9.11,9,0,8,7,4,Placed,32.91
CLG0070,103,5.7,5.97,8,0,2,9,2,Not Placed,38.22
CLG0014,70,9.39,9.27,8,0,4,3,4,Not Placed,29.55
CLG0006,80,5.9,5.96,10,0,6,7,1,Not Placed,30.62
CLG0082,102,8.99,8.86,5,0,1,6,1,Not Placed,39.95
CLG0090,111,7.28,6.98,1,0,3,2,3,Placed,41.75
CLG0036,102,6.64,6.39,10,0,0,6,5,Placed,38.34
CLG0036,98,5.79,5.51,9,0,10,3,0,Not Placed,36.43
CLG0075,95,5.84,5.89,2,0,2,2,1,Not Placed,35.58
CLG0018,77,8.31,8.72,1,0,5,5,1,Placed,31.34
CLG0015,89,7.75,8.16,6,0,1,5,1,Placed,34.97
CLG0094,93,5.61,5.16,1,0,7,2,1,Placed,34.59
CLG0089,115,5.56,5.14,10,0,6,3,0,Placed,41.9
CLG0016,105,5.36,5.11,10,0,2,8,0,Placed,38.49
CLG0076,73,8.72,8.48,10,0,0,5,5,Placed,30.07
CLG0014,104,8.56,8.15,7,0,9,8,4,Placed,40.24
CLG0047,94,5.29,5.18,7,0,3,10,5,Placed,34.82
CLG0054,89,7.8,7.89,1,0,3,4,1,Not Placed,34.9
CLG0058,109,5.42,5.5,10,0,10,4,1,Not Placed,39.97
CLG0077,115,9.52,9.56,5,0,4,6,3,Not Placed,44.69
CLG0030,113,9.54,9.38,3,0,2,10,3,Not Placed,43.97
CLG0100,87,8.49,8.7,2,0,10,5,3,Not Placed,34.73
CLG0046,95,9.63,9.96,5,0,1,5,3,Not Placed,38.2
CLG0016,104,9.06,8.91,5,0,1,9,4,Not Placed,40.66
CLG0001,114,9.14,8.73,2,0,7,6,2,Not Placed,43.96
CLG0041,92,7.85,7.65,6,0,6,3,3,Not Placed,35.83
CLG0093,97,6.53,6.17,7,0,0,4,3,Placed,36.57
CLG0027,83,6.09,6.06,1,0,8,9,0,Placed,31.72
CLG0077,82,6.64,6.3,3,0,2,6,5,Not Placed,31.65
CLG0062,112,8.14,8.1,4,0,2,8,1,Not Placed,42.75
CLG0081,120,5.86,5.58,2,0,0,7,4,Placed,43.81
CLG0028,98,6.29,6.53,10,0,10,1,1,Not Placed,36.94
CLG0020,115,7.34,6.87,5,0,3,1,2,Placed,43.07
CLG0055,105,6.17,6.22,4,0,9,10,4,Placed,39.13
CLG0051,90,7.94,7.61,2,0,10,7,2,Placed,35.18
CLG0069,105,9.62,9.12,1,0,1,2,1,Not Placed,41.25
CLG0088,123,8.74,9.11,8,0,2,9,0,Not Placed,46.95
CLG0073,99,8.33,8.5,2,0,10,10,3,Placed,38.61
CLG0097,123,7.91,7.51,4,0,0,9,1,Not Placed,46.14
CLG0034,60,7.44,7.6,10,0,2,2,4,Placed,25.01
CLG0027,112,5.93,6.04,5,0,3,9,3,Not Placed,41.32
CLG0097,101,9.47,9.44,2,0,5,9,4,Placed,39.97
CLG0038,95,6.24,6.16,10,0,2,10,2,Placed,35.8
CLG0029,101,5.46,5.85,9,0,10,6,4,Placed,37.44
CLG0035,70,8.75,8.5,2,0,5,5,0,Not Placed,29.08
CLG0020,96,5.88,5.78,6,0,1,10,2,Not Placed,35.89
CLG0019,105,6.86,6.69,7,0,10,2,5,Not Placed,39.52
CLG0005,122,5.14,5.41,6,0,7,6,5,Placed,44.18
CLG0025,92,5.69,6.11,4,0,4,9,1,Not Placed,34.6
CLG0093,87,5.87,6.22,1,0,0,3,3,Not Placed,33.03
CLG0026,92,5.27,5.57,2,0,5,3,3,Not Placed,34.28
CLG0051,113,8.28,8.77,10,0,2,4,0,Not Placed,43.35
CLG0066,104,9.19,9.39,10,0,3,10,4,Placed,40.86
CLG0061,92,6.87,7.12,6,0,9,4,1,Not Placed,35.33
CLG0015,107,9.37,9.85,8,0,7,1,5,Placed,42.07
CLG0045,101,6.07,5.58,3,0,7,2,4,Not Placed,37.55
CLG0006,114,6.63,6.76,7,0,10,6,5,Not Placed,42.46
CLG0058,89,5.75,5.99,9,0,7,5,4,Not Placed,33.58
CLG0001,95,8.1,8.52,4,0,4,10,0,Placed,37.21
CLG0073,94,7.1,7.48,7,0,0,4,5,Not Placed,36.19
CLG0043,78,8.07,8.41,7,0,8,10,2,Not Placed,31.49
CLG0016,104,8.81,9.26,10,0,10,9,5,Placed,40.69
CLG0014,103,7.73,7.77,9,0,8,2,2,Placed,39.5
CLG0074,100,8.14,7.65,3,0,7,8,0,Not Placed,38.6
CLG0019,96,9.68,9.19,1,0,10,4,0,Placed,38.29
CLG0051,78,6.5,6.54,8,0,2,9,0,Not Placed,30.35
CLG0008,93,6.8,6.74,4,0,5,4,4,Placed,35.51
CLG0048,94,8.59,8.54,2,0,6,2,5,Not Placed,37.04
CLG0012,87,8.06,7.96,5,0,3,6,5,Placed,34.34
CLG0070,97,5.89,6.31,4,0,9,9,4,Not Placed,36.4
CLG0035,106,6.88,6.74,1,0,6,7,1,Placed,39.87
CLG0070,128,7.34,7.7,7,0,8,1,0,Placed,47.68
CLG0006,102,7.1,7.5,4,0,5,9,4,Placed,38.87
CLG0099,103,5.89,5.89,8,0,1,6,2,Placed,38.26
CLG0011,98,9.62,9.57,9,0,5,9,5,Placed,39.06
CLG0038,71,8.81,9.07,8,0,2,2,5,Placed,29.63
CLG0091,99,7.41,7.62,1,0,6,7,0,Placed,38.01
CLG0026,100,8.4,8.23,8,0,2,8,2,Placed,38.88
CLG0028,136,9.49,9.09,5,0,7,8,3,Placed,51.53
CLG0072,97,5.68,5.44,1,0,10,5,1,Placed,36.04
CLG0089,104,6.25,5.88,9,0,10,7,3,Not Placed,38.71
CLG0083,99,7.71,7.5,9,0,4,7,1,Placed,38.07
CLG0080,82,9.0,8.76,7,0,2,3,0,Not Placed,33.25
CLG0050,117,5.18,5.32,7,0,0,2,5,Placed,42.5
CLG0058,111,9.92,10.37,1,0,4,5,1,Not Placed,43.76
CLG0026,111,7.27,7.46,9,0,9,4,4,Not Placed,41.91
CLG0044,86,6.8,7.23,1,0,9,8,2,Placed,33.34
CLG0015,121,6.46,6.74,7,0,10,5,5,Placed,44.73
CLG0076,78,5.87,6.1,9,0,2,9,4,Not Placed,29.99
CLG0024,108,8.96,8.87,9,0,3,7,0,Placed,41.94
CLG0077,132,9.78,9.6,5,0,9,1,3,Not Placed,50.46
CLG0059,85,7.07,7.42,6,0,3,2,2,Not Placed,33.16
CLG0057,91,9.76,10.17,2,0,2,8,0,Placed,36.98
CLG0017,101,9.12,9.07,2,0,5,10,4,Not Placed,39.73
CLG0077,92,7.41,6.92,10,0,5,8,4,Placed,35.44
CLG0081,76,8.37,8.66,9,0,0,2,1,Not Placed,31.01
CLG0001,101,7.17,6.96,1,0,3,7,1,Not Placed,38.38
CLG0011,84,7.79,7.3,10,0,0,8,3,Placed,33.03
CLG0020,107,5.29,5.59,5,0,6,4,1,Not Placed,39.29
CLG0031,86,8.48,8.5,7,0,6,3,1,Not Placed,34.33
CLG0099,123,5.26,5.45,10,0,5,10,1,Placed,44.57
CLG0039,88,9.09,9.5,6,0,10,9,3,Placed,35.53
CLG0063,95,9.12,9.16,6,0,1,2,0,Placed,37.76
CLG0006,112,6.19,6.19,6,0,3,3,5,Not Placed,41.46
CLG0099,81,6.62,6.41,8,0,2,8,2,Not Placed,31.34
CLG0028,103,7.41,7.22,7,0,10,2,0,Placed,39.21
CLG0051,119,7.98,8.28,5,0,7,5,5,Not Placed,45.09
CLG0053,75,6.44,6.39,10,0,1,10,5,Placed,29.28
CLG0044,102,7.96,7.62,2,0,9,8,0,Not Placed,39.19
CLG0065,103,6.49,6.08,10,0,1,7,0,Placed,38.52
CLG0080,111,5.28,5.25,6,0,0,4,4,Placed,40.51
CLG0012,81,5.01,4.97,10,0,8,10,2,Not Placed,30.33
CLG0028,80,5.51,5.66,5,0,2,9,2,Placed,30.39
CLG0079,107,8.96,8.93,4,0,7,2,4,Not Placed,41.63
CLG0072,104,9.81,9.45,10,0,6,7,5,Not Placed,41.09
CLG0068,103,7.13,7.14,5,0,0,7,4,Not Placed,39.09
CLG0095,105,7.56,7.97,9,0,10,7,5,Placed,40.18
CLG0030,89,5.73,5.39,2,0,5,7,1,Not Placed,33.37
CLG0035,103,7.76,7.95,6,0,7,5,4,Placed,39.57
CLG0006,104,5.72,5.81,9,0,5,1,3,Placed,38.51
CLG0085,89,8.06,8.31,10,0,8,4,4,Not Placed,35.12
CLG0030,127,9.67,9.32,5,0,9,5,1,Not Placed,48.66
CLG0080,107,5.98,6.42,6,0,2,10,4,Not Placed,39.8
CLG0063,82,8.82,8.94,10,0,5,4,3,Placed,33.25
CLG0008,109,5.12,5.47,4,0,9,7,4,Placed,39.86
CLG0091,85,6.88,6.63,5,0,3,2,5,Not Placed,32.84
CLG0033,111,5.55,5.79,8,0,9,2,0,Placed,40.78
CLG0043,117,6.76,7.04,1,0,2,2,2,Not Placed,43.6
CLG0076,87,5.87,5.77,1,0,7,10,3,Placed,32.88
CLG0043,114,6.87,6.75,10,0,6,3,3,Not Placed,42.54
CLG0045,106,7.09,7.25,4,0,6,5,3,Placed,40.11
CLG0087,112,6.5,6.09,10,0,4,10,5,Not Placed,41.53
CLG0054,128,8.28,8.52,3,0,0,9,0,Placed,48.27
CLG0065,96,9.59,9.13,5,0,5,3,0,Not Placed,38.24
CLG0007,88,7.0,6.69,10,0,5,6,2,Placed,33.9
CLG0036,86,5.96,6.12,8,0,2,6,1,Not Placed,32.69
CLG0025,87,6.35,5.95,1,0,4,6,2,Placed,33.1
CLG0085,98,9.27,9.74,5,0,8,5,3,Placed,39.0
CLG0037,105,7.86,8.23,5,0,6,2,3,Not Placed,40.36
CLG0012,104,7.28,7.41,2,0,7,1,3,Not Placed,39.56
CLG0032,112,5.75,6.07,5,0,8,5,2,Not Placed,41.27
CLG0049,100,7.25,7.64,8,0,5,8,1,Not Placed,38.3
CLG0038,121,6.39,6.15,10,0,4,10,1,Placed,44.51
CLG0056,96,9.72,10.07,7,0,9,5,2,Placed,38.6
CLG0080,140,9.42,9.11,2,0,4,3,5,Not Placed,52.84
CLG0065,109,5.42,5.33,6,0,4,3,3,Placed,39.92
CLG0026,87,7.58,7.64,10,0,3,2,2,Not Placed,34.07
CLG0057,83,6.13,6.34,1,0,1,7,2,Not Placed,31.82
CLG0014,107,7.05,6.58,10,0,6,2,4,Placed,40.21
CLG0056,96,9.38,9.17,10,0,6,6,4,Placed,38.18
CLG0070,110,7.64,7.75,3,0,7,8,0,Not Placed,41.8
CLG0041,107,6.67,6.53,6,0,7,8,0,Not Placed,40.07
CLG0051,98,6.04,6.32,9,0,10,2,2,Not Placed,36.79
CLG0084,87,9.0,9.15,1,0,7,6,4,Placed,35.05
CLG0067,77,8.12,7.85,6,0,8,3,3,Not Placed,30.99
CLG0012,93,7.34,6.99,2,0,5,9,0,Placed,35.78
CLG0097,112,6.09,6.22,9,0,3,3,3,Not Placed,41.44
CLG0049,103,6.67,6.62,2,0,1,1,3,Placed,38.76
CLG0001,81,9.8,9.47,3,0,4,9,0,Not Placed,33.42
CLG0019,102,7.6,7.43,2,0,5,8,5,Not Placed,39.01
CLG0066,105,7.0,6.8,4,0,6,2,2,Placed,39.6
CLG0058,86,7.61,7.22,4,0,5,10,4,Placed,33.61
CLG0087,102,8.89,8.94,10,0,3,10,0,Not Placed,39.94
CLG0072,100,6.7,6.96,1,0,3,3,1,Placed,37.89
CLG0098,82,5.89,5.97,8,0,6,7,1,Not Placed,31.29
CLG0004,105,7.92,8.25,5,0,0,6,3,Placed,40.39
CLG0008,108,8.33,7.96,8,0,2,8,1,Not Placed,41.43
CLG0027,116,8.56,8.5,6,0,9,10,3,Placed,44.35
CLG0026,115,9.41,9.52,2,0,1,5,5,Not Placed,44.64
CLG0097,79,6.86,7.04,7,0,1,5,5,Placed,30.97
CLG0043,85,5.38,5.58,10,0,6,2,5,Not Placed,31.99
CLG0040,107,9.79,10.02,9,0,4,6,5,Placed,42.27
CLG0050,107,7.18,7.33,7,0,2,5,5,Placed,40.5
CLG0067,107,8.12,7.71,5,0,8,9,4,Placed,40.94
CLG0073,157,8.33,8.53,4,0,8,3,0,Placed,57.95
CLG0074,108,7.73,7.95,8,0,2,5,0,Not Placed,41.23
CLG0029,117,6.03,6.52,6,0,1,3,4,Not Placed,43.18
CLG0085,114,8.78,8.97,5,0,2,9,3,Not Placed,43.92
CLG0042,109,9.02,9.21,7,0,8,9,5,Placed,42.41
CLG0018,95,7.76,7.77,3,0,7,10,2,Not Placed,36.84
CLG0081,111,7.44,7.81,9,0,2,7,1,Placed,42.08
CLG0021,88,5.57,6.07,4,0,3,1,5,Not Placed,33.21
CLG0067,96,5.42,5.7,4,0,4,9,4,Placed,35.71
CLG0062,92,6.7,6.81,8,0,3,9,1,Placed,35.17
CLG0027,101,6.55,6.13,6,0,10,10,2,Not Placed,37.89
CLG0096,134,9.77,10.0,1,0,1,5,3,Not Placed,51.26
CLG0093,71,8.92,9.13,2,0,10,2,5,Placed,29.68
CLG0047,110,8.3,8.58,9,0,8,1,1,Not Placed,42.29
CLG0093,75,7.59,7.21,6,0,1,2,3,Placed,29.93
CLG0026,92,5.84,5.99,7,0,4,4,5,Placed,34.61
CLG0009,116,9.89,9.69,9,0,10,4,2,Not Placed,45.19
CLG0091,100,6.88,7.14,3,0,8,1,3,Not Placed,38.01
CLG0012,83,5.53,5.27,5,0,7,8,2,Placed,31.27
CLG0016,89,7.47,7.65,5,0,0,10,0,Not Placed,34.71
CLG0047,110,9.37,9.16,10,0,2,8,1,Placed,42.84
CLG0056,89,9.44,8.95,7,0,9,8,1,Not Placed,35.8
CLG0066,103,5.05,5.18,2,0,8,5,2,Not Placed,37.74
CLG0051,100,9.43,9.04,4,0,2,10,2,Placed,39.49
CLG0027,90,6.36,6.52,4,0,10,2,4,Placed,34.29
CLG0073,132,5.19,5.62,8,0,3,4,2,Not Placed,47.6
CLG0066,109,9.24,9.71,10,0,2,1,2,Placed,42.65
CLG0062,69,9.32,9.06,3,0,6,10,3,Placed,29.13
CLG0071,102,7.98,8.29,2,0,8,1,3,Placed,39.42
CLG0008,90,7.87,7.72,9,0,3,10,1,Not Placed,35.2
CLG0038,112,9.07,9.47,4,0,8,3,3,Placed,43.51
CLG0006,88,8.93,9.22,9,0,1,4,3,Placed,35.38
CLG0059,98,9.45,9.02,6,0,1,3,1,Not Placed,38.82
CLG0019,107,7.76,7.67,1,0,8,3,5,Not Placed,40.81
CLG0079,112,9.84,9.68,3,0,6,8,0,Placed,43.84
CLG0056,81,9.98,10.27,7,0,4,4,4,Not Placed,33.75
CLG0028,94,5.58,5.49,9,0,4,3,3,Not Placed,35.02
CLG0094,92,9.25,9.43,8,0,8,9,0,Placed,36.89
CLG0091,90,7.5,7.6,5,0,10,1,4,Not Placed,35.03
CLG0010,126,6.94,7.42,8,0,3,8,1,Not Placed,46.79
CLG0045,106,8.07,8.51,2,0,10,5,3,Placed,40.86
CLG0095,81,5.28,5.21,3,0,0,8,5,Placed,30.5
CLG0065,113,7.53,7.75,8,0,5,10,3,Not Placed,42.76
CLG0050,131,9.35,9.68,9,0,2,3,2,Not Placed,50.01
CLG0032,115,6.07,6.47,10,0,1,6,3,Not Placed,42.51
CLG0061,77,7.13,6.7,8,0,3,7,3,Placed,30.28
CLG0016,92,9.7,9.5,4,0,8,8,0,Not Placed,37.07
CLG0006,119,7.14,6.96,6,0,7,7,0,Placed,44.37
CLG0066,89,6.79,6.72,5,0,6,7,3,Placed,34.17
CLG0062,106,7.2,6.87,4,0,1,2,5,Placed,40.02
CLG0066,111,7.6,7.6,9,0,0,3,4,Placed,42.07
CLG0067,86,8.16,8.32,10,0,6,6,1,Not Placed,34.16
CLG0019,99,9.0,9.0,3,0,9,3,5,Placed,39.0
CLG0004,51,7.26,7.43,1,0,4,9,0,Not Placed,21.9
CLG0043,84,9.09,8.66,7,0,10,9,5,Not Placed,33.92
CLG0018,96,7.67,8.05,10,0,7,6,5,Placed,37.24
CLG0082,81,6.69,7.13,8,0,4,1,4,Not Placed,31.61
CLG0046,124,8.29,8.41,3,0,9,1,5,Not Placed,46.9
CLG0046,78,8.59,8.97,3,0,4,4,3,Not Placed,31.85
CLG0085,93,7.79,7.42,6,0,7,10,2,Placed,36.07
CLG0021,101,5.28,5.58,2,0,8,8,0,Placed,37.29
CLG0030,121,5.85,5.47,6,0,1,3,5,Not Placed,44.11
CLG0064,78,6.43,6.34,5,0,7,4,0,Not Placed,30.26
CLG0041,117,6.41,6.23,7,0,6,6,2,Not Placed,43.21
CLG0017,100,8.37,8.46,9,0,7,9,3,Placed,38.94
CLG0005,85,5.09,4.89,9,0,2,4,0,Not Placed,31.66
CLG0005,106,8.78,8.92,1,0,3,3,3,Placed,41.23
CLG0073,102,6.33,6.2,7,0,6,10,4,Placed,38.18
CLG0075,90,6.55,6.91,3,0,4,10,0,Placed,34.49
CLG0048,101,7.64,7.77,4,0,6,9,3,Placed,38.8
CLG0078,94,6.08,5.8,2,0,5,7,4,Placed,35.29
CLG0038,101,9.42,9.26,1,0,3,9,5,Not Placed,39.89
CLG0006,109,5.43,5.78,10,0,1,10,0,Not Placed,40.07
CLG0058,123,7.22,7.11,3,0,5,6,1,Placed,45.78
CLG0014,81,9.25,9.29,10,0,5,4,3,Placed,33.18
CLG0072,131,8.08,8.23,9,0,5,5,4,Placed,49.1
CLG0094,70,6.46,6.31,1,0,0,10,5,Not Placed,27.59
CLG0059,97,7.1,6.89,3,0,5,2,1,Not Placed,37.0
CLG0065,108,8.53,8.51,5,0,1,3,3,Placed,41.68
CLG0089,104,9.87,9.58,3,0,9,5,0,Not Placed,41.15
CLG0013,90,9.47,9.25,4,0,4,3,5,Placed,36.24
CLG0027,96,6.71,6.27,4,0,6,3,3,Not Placed,36.33
CLG0025,92,9.99,9.79,1,0,9,9,4,Not Placed,37.26
CLG0056,91,5.02,4.84,6,0,0,4,0,Placed,33.62
CLG0068,112,5.14,5.6,7,0,4,4,0,Placed,40.91
CLG0059,105,9.12,9.21,7,0,8,1,5,Placed,41.11
CLG0095,89,6.0,6.29,6,0,2,7,0,Placed,33.76
CLG0049,113,5.3,4.85,7,0,1,10,2,Placed,41.05
CLG0018,104,6.19,5.8,3,0,9,9,4,Not Placed,38.66
CLG0081,112,7.13,7.44,5,0,1,8,1,Placed,42.19
CLG0075,109,8.65,8.77,7,0,2,2,0,Placed,42.14
CLG0076,87,8.12,7.81,10,0,0,6,4,Not Placed,34.31
CLG0003,91,6.19,6.09,5,0,1,10,2,Placed,34.43
CLG0079,111,7.52,7.56,10,0,5,10,2,Not Placed,42.03
CLG0057,109,9.63,9.97,2,0,7,5,5,Placed,42.87
CLG0006,99,9.08,8.64,6,0,3,8,0,Not Placed,38.91
CLG0069,101,6.62,6.72,7,0,1,1,4,Not Placed,38.11
CLG0031,119,9.91,10.13,2,0,4,9,2,Not Placed,46.35
CLG0008,91,8.54,9.02,10,0,2,9,0,Placed,36.19
CLG0010,108,5.31,5.62,8,0,4,7,5,Placed,39.64
CLG0003,96,5.18,4.96,5,0,2,8,3,Not Placed,35.38
CLG0012,96,5.84,6.05,8,0,10,9,3,Placed,35.96
CLG0092,116,8.64,8.9,3,0,3,5,3,Not Placed,44.51
CLG0076,112,5.92,6.15,2,0,4,2,1,Placed,41.36
CLG0094,112,7.56,7.88,7,0,6,1,4,Not Placed,42.48
CLG0019,119,5.47,5.87,5,0,1,5,5,Placed,43.45
CLG0021,100,9.6,9.2,5,0,5,8,3,Placed,39.6
CLG0081,110,6.72,6.32,8,0,5,10,2,Placed,41.01
CLG0014,95,9.54,9.84,9,0,5,4,1,Placed,38.13
CLG0075,104,9.72,9.47,8,0,6,4,3,Placed,41.06
CLG0029,98,5.03,4.59,10,0,10,4,0,Placed,35.87
CLG0007,101,7.32,7.22,2,0,2,8,2,Placed,38.51
CLG0049,108,5.12,5.44,10,0,4,7,1,Not Placed,39.52
CLG0065,87,9.54,9.17,7,0,8,1,1,Not Placed,35.24
CLG0007,131,7.59,7.76,5,0,8,10,2,Placed,48.78
CLG0014,84,5.37,4.87,7,0,6,6,3,Placed,31.41
CLG0016,81,5.55,5.16,3,0,8,4,5,Not Placed,30.57
CLG0099,117,6.92,6.77,4,0,2,2,5,Placed,43.56
CLG0016,111,9.7,9.28,7,0,6,3,0,Not Placed,43.33
CLG0085,109,8.46,8.81,2,0,0,4,0,Not Placed,42.09
CLG0013,109,9.34,9.7,2,0,6,10,5,Not Placed,42.68
CLG0082,99,6.83,7.09,1,0,2,7,5,Placed,37.64
CLG0029,86,5.22,4.96,1,0,2,1,0,Placed,32.06
CLG0085,101,9.87,9.89,1,0,6,1,1,Placed,40.25
CLG0073,89,5.09,4.77,6,0,7,3,3,Not Placed,32.95
CLG0095,114,9.74,9.52,5,0,3,2,5,Placed,44.42
CLG0061,97,6.84,6.86,10,0,0,3,5,Placed,36.9
CLG0037,87,5.05,5.29,8,0,4,3,2,Placed,32.45
CLG0017,95,8.45,8.04,5,0,9,1,4,Placed,37.16
CLG0031,106,9.9,9.7,1,0,3,6,0,Not Placed,41.87
CLG0059,91,9.83,10.26,8,0,8,8,2,Placed,37.03
CLG0088,87,5.8,5.73,6,0,2,5,5,Placed,32.84
CLG0047,103,5.91,6.35,8,0,3,1,5,Not Placed,38.42
CLG0006,103,7.83,8.32,2,0,9,10,2,Placed,39.72
CLG0032,92,8.19,8.22,10,0,2,7,5,Not Placed,36.14
CLG0031,92,8.7,8.49,8,0,2,10,0,Placed,36.4
CLG0018,103,5.91,6.2,6,0,6,9,4,Not Placed,38.37
CLG0009,78,9.8,9.46,1,0,4,7,1,Not Placed,32.42
CLG0003,78,8.19,7.94,1,0,4,9,1,Not Placed,31.38
CLG0071,89,9.24,9.52,10,0,3,10,3,Not Placed,35.92
CLG0026,96,7.7,7.63,5,0,9,9,5,Not Placed,37.11
CLG0013,104,7.07,6.77,7,0,7,2,1,Not Placed,39.28
CLG0034,122,9.89,10.04,4,0,0,8,2,Not Placed,47.31
CLG0043,112,7.91,8.14,10,0,10,7,1,Not Placed,42.68
CLG0093,97,9.33,8.96,5,0,8,7,3,Placed,38.43
CLG0033,99,9.77,9.55,10,0,10,2,2,Placed,39.44
CLG0069,84,8.38,8.1,3,0,8,1,2,Placed,33.49
CLG0036,99,7.74,7.62,2,0,10,4,4,Not Placed,38.12
CLG0079,95,5.02,5.28,2,0,4,7,5,Placed,35.1
CLG0074,104,5.2,5.41,5,0,0,6,0,Placed,38.2
CLG0068,87,6.0,6.16,4,0,1,10,0,Placed,33.05
CLG0047,107,5.93,5.44,2,0,1,2,0,Placed,39.46
CLG0061,122,6.27,5.91,5,0,5,7,3,Placed,44.73
CLG0045,98,6.52,6.24,10,0,9,10,1,Placed,36.92
CLG0096,106,6.8,6.57,9,0,8,9,0,Placed,39.79
CLG0088,110,7.1,6.75,8,0,2,2,1,Not Placed,41.28
CLG0084,93,5.49,5.4,9,0,7,10,0,Not Placed,34.63
CLG0048,103,5.21,4.79,9,0,1,5,4,Not Placed,37.67
CLG0041,100,8.37,8.62,8,0,4,2,1,Not Placed,39.0
CLG0038,101,7.69,7.98,9,0,3,1,3,Not Placed,38.89
CLG0068,88,7.22,7.29,4,0,4,7,5,Not Placed,34.17
CLG0075,100,8.17,7.76,8,0,3,2,5,Not Placed,38.64
CLG0011,107,9.14,9.53,2,0,0,6,3,Not Placed,41.89
CLG0016,121,7.14,7.61,9,0,0,7,1,Placed,45.25
CLG0065,114,8.21,7.91,9,0,5,1,5,Not Placed,43.37
CLG0097,132,9.77,9.97,3,0,7,9,3,Not Placed,50.58
CLG0071,88,9.2,9.54,6,0,6,6,2,Placed,35.58
CLG0067,113,7.13,7.17,7,0,3,2,3,Not Placed,42.43
CLG0071,102,8.22,8.04,3,0,4,1,4,Not Placed,39.42
CLG0001,132,5.89,5.87,5,0,7,1,4,Not Placed,47.92
CLG0097,87,7.8,7.81,1,0,5,2,1,Placed,34.2
CLG0071,87,9.91,9.81,3,0,7,9,3,Placed,35.57
CLG0004,91,7.59,8.02,8,0,5,2,1,Not Placed,35.54
CLG0082,68,9.64,9.88,3,0,7,1,0,Placed,29.17
CLG0037,92,7.04,6.78,8,0,3,4,2,Placed,35.27
CLG0014,88,9.99,10.08,9,0,9,9,1,Not Placed,36.02
CLG0079,102,7.9,8.09,6,0,1,8,1,Placed,39.33
CLG0025,105,5.21,4.85,7,0,2,7,1,Placed,38.35
CLG0082,128,7.93,7.79,6,0,4,8,5,Not Placed,47.91
CLG0004,114,6.37,6.78,8,0,3,2,1,Not Placed,42.38
CLG0066,91,5.16,5.23,7,0,4,5,5,Placed,33.8
CLG0043,86,9.1,8.82,10,0,0,7,4,Not Placed,34.64
CLG0026,107,6.38,6.0,1,0,0,1,2,Placed,39.79
CLG0084,80,8.98,9.0,3,0,1,6,0,Not Placed,32.66
CLG0015,127,6.44,6.49,3,0,10,7,2,Not Placed,46.64
CLG0006,117,5.97,5.8,3,0,1,8,1,Not Placed,42.92
